City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,malazgirt,39.1427,42.5401,27.71,25,0,8.67,TR,1722245862
213,raton,36.9034,-104.4391,20.19,33,0,2.57,US,1722245862
214,siemiatycze,52.4272,22.8623,21.58,44,80,9.61,PL,1722245862
215,kingscliff,-28.2667,153.5667,12.89,50,0,3.09,AU,1722245863
216,pavilosta,56.8879,21.1859,17.95,81,100,13.27,LV,1722245863
217,bay city,43.5945,-83.8889,23.06,90,0,2.06,US,1722245863
218,queenstown,-31.8976,26.8753,11.11,22,0,5.81,ZA,1722245864
219,havre,49.5833,0.3333,24.63,56,100,5.14,FR,1722245864
220,westport,41.1415,-73.3579,19.9,86,100,7.72,US,1722245864
221,san jose del cabo,23.0589,-109.6977,29.77,79,10,2.1,MX,1722245865
222,el calafate,-50.3408,-72.2768,-3.54,78,91,1.21,AR,1722245865
223,fortuna,40.5982,-124.1573,14.4,95,100,0.0,US,1722245865
224,kurunegala,7.4863,80.3623,30.33,58,100,4.58,LK,1722245865
225,imperatriz,-5.5264,-47.4917,22.03,56,75,1.03,BR,1722245866
226,kavieng,-2.5744,150.7967,27.68,79,97,4.85,PG,1722245866
227,cururupu,-1.8283,-44.8683,23.61,91,6,1.03,BR,1722245866
228,port shepstone,-30.7414,30.455,18.58,32,0,6.14,ZA,1722245867
229,at taj,24.2049,23.2857,36.96,14,12,3.16,LY,1722245867
230,eastbourne,50.7687,0.2845,24.62,65,0,1.79,GB,1722245867
231,vila velha,-20.3297,-40.2925,21.97,90,0,2.57,BR,1722245868
232,horta,38.5333,-28.6333,25.57,88,20,1.54,PT,1722245868
233,haiku-pauwela,20.9219,-156.3051,22.34,79,0,5.66,US,1722245868
234,uaua,-9.8414,-39.4817,19.56,82,36,5.02,BR,1722245869
235,whitehorse,60.7161,-135.0538,11.43,63,20,4.12,CA,1722245869
236,nouadhibou,20.931,-17.0347,21.99,83,75,8.75,MR,1722245870
237,karratha,-20.7377,116.8463,22.87,31,11,2.16,AU,1722245870
238,changji,44.0167,87.3167,36.44,28,0,3.0,CN,1722245870
239,hirara,24.8,125.2833,30.15,84,40,9.26,JP,1722245871
240,kittila,67.6647,24.8936,17.08,77,0,4.12,FI,1722245871
241,praia da vitoria,38.7333,-27.0667,24.86,94,40,2.94,PT,1722245871
242,la'ie,21.6477,-157.9253,25.98,81,43,3.13,US,1722245872
243,lefka,35.1106,32.8506,35.04,35,0,3.83,CY,1722245872
244,lae,-6.7221,146.9847,23.37,89,49,2.19,PG,1722245872
245,coquimbo,-29.9533,-71.3436,9.85,100,100,1.03,CL,1722245873
246,sayre,41.979,-76.5155,16.82,94,42,1.21,US,1722245873
247,holualoa,19.6228,-155.9522,24.91,73,0,2.57,US,1722245873
248,xilin hot,43.9667,116.0333,29.32,36,100,0.59,CN,1722245874
249,philadelphia,39.9523,-75.1638,21.73,89,98,1.13,US,1722245833
250,mandan,46.8267,-100.8896,18.34,93,100,2.06,US,1722245874
251,brookings,44.3114,-96.7984,20.62,98,0,2.06,US,1722245844
252,natal,-5.795,-35.2094,23.36,94,40,2.06,BR,1722245875
253,rio gallegos,-51.6226,-69.2181,1.03,69,0,5.14,AR,1722245875
254,dawei,14.0833,98.2,24.63,94,100,3.08,MM,1722245875
255,susuman,62.7833,148.1667,17.15,47,77,4.36,RU,1722245876
256,shenjiamen,29.9576,122.298,27.37,90,0,5.93,CN,1722245876
257,margate,51.3813,1.3862,23.5,67,8,5.0,GB,1722245876
258,namibe,-15.1961,12.1522,19.85,70,57,4.13,AO,1722245877
259,nelson bay,-32.7167,152.15,13.89,75,100,1.79,AU,1722245877
260,plastun,44.7561,136.2939,18.71,99,99,1.11,RU,1722245877
261,pirot,43.1531,22.5861,33.0,32,0,4.31,RS,1722245878
262,qaqortoq,60.7167,-46.0333,5.53,77,8,1.19,GL,1722245878
263,pipili,20.1167,85.8333,31.19,79,75,1.54,IN,1722245878
264,howard springs,-12.497,131.047,28.95,71,59,2.76,AU,1722245879
265,san luis de la loma,17.2706,-100.8939,25.32,92,96,2.13,MX,1722245879
266,swakopmund,-22.6833,14.5333,10.55,88,0,2.15,NA,1722245879
267,yefremov,53.1481,38.0992,23.81,36,93,7.71,RU,1722245880
268,mponela,-13.5319,33.7401,27.05,13,1,3.04,MW,1722245880
269,tobelo,1.7284,128.0095,27.94,77,33,3.04,ID,1722245880
270,severo-yeniseyskiy,60.3725,93.0408,29.58,33,7,2.57,RU,1722245881
271,puerto baquerizo moreno,-0.9,-89.6,19.45,84,78,4.32,EC,1722245882
272,umm kaddadah,13.6017,26.6876,31.3,46,29,2.25,SD,1722245882
273,liberal,37.0431,-100.921,24.58,50,0,5.66,US,1722245882
274,oranjemund,-28.55,16.4333,14.16,51,0,4.57,NA,1722245883
275,quellon,-43.1167,-73.6167,3.8,83,100,2.37,CL,1722245883
276,laojunmiao,39.8333,97.7333,29.53,13,56,7.21,CN,1722245883
